Aboni gazeton, revuon, servon, dissendolisto.
Do ni pacience atendu ŝancon.
Do ni prefere ignoru lin.
Do ni sekvis tiun inviton.
Do ni ŝatas la rezultojn.
Do nombre Sumoo ne evoluis.
Do oni apenaŭ plu reagas.
Do oni kiel interpretu ĝin?
Do oni nomis ĝin Ĉioscio.
Do oni rezignas pri esprimado.
Do pensu, kion nun fari.
Do pioniraj ideoj estas necesaj.
Do pro kio mi ektimu?
Do temas ofte pri nomoj.
Do temas pri eseeca skizo.
Do tio simpligas la aferon.
Do tiu estas bona strategio.
Do unue, vi studu bone.
Do vi atendas, kaj atendas.
Do ŝi certe ne memoris!
Do ŝi iniciatis novan pruvon.
Do ĉio bone, demando solvita.
Do ĉiu, Iri kaj altgradigo!
Do ĉiuj aŭdis la anglan.
Do ĉu entute indas legi?
Do ĉu vere ili famas?
Do, Esperanto ne estas lingvo.
Do, Esperanton ili ne bezonas.
Do, ankaŭ tio estas sukceso.
Do, atendu iom da tempo!
Do, dankon al tiaj homoj!
Do, ek al la biero.
Do, interkonsenton oni devas trovi.
Do, kia tiu tradukisto estas?
Do, kial esti en Palestino?
Do, kian sperton li havas?
Do, kie troviĝas la ruino?
Do, kio finfine vi estas?
Do, kio, ĉu ni pensu?
Do, la afero ŝajnis farebla.
Do, la celo estas atingita!
Do, la kaŭzoj estas aliaj.
Do, la kvereloj estos daŭrigitaj.
Do, la malkovraĵoj ne samvalorus.
Do, li mortigu sin mem!
Do, mi bezonas vian helpon!
Do, mi bezonas vian helpon.
Do, mi esploris kelkajn artikolojn.
Do, mi komencis publikigi partojn.
Do, mi perdis la intereson.
Do, mi perdis la intereson.
Do, mi provu priskribi alivorte.
Do, mi subtenas lian nomon.
Do, ni konsiderus ilin egalaj.
Do, oĉjo, ne estas eraro.
Do, petu al ŝi ankoraŭfoje!
Do, por kiu ĝi utilas?
Do, pri kio mi disreviĝis?
Do, temas ne pri Estonio.
Do, vera diskuto ne evoluas.
Do, vi ne estu escepto.
Do, vi volis nur satiri.
Do, ĝi estus ja priatentinda.
Do, ĉu nenio tia estos?
Do, ĉu vi permesas daŭrigi?
Doktoro, ĉu mi bone fartas?
Dolora ĝojo karesis mian koron.
Donacitoj edukiĝas same kiel fratoj.
Donaco de ankaŭ iamaj eksterlandanoj.
Donaldo, atentu je la plato.
Donis apartan ĉambron en komunloĝejo.
Donu al li freŝigantan trinkaĵon.
Donu al mi ankoraŭ sukeron.
Donu al mi la tukon.
Donu al mi unu jaron.
Donu al mi vian horloĝon.
Donu al mi vian manon!
Donu al mi vian monon!
Donu ian fadenon al mi.
Donu la tranĉilon al mi.
Donu tiom, kiom estas necese.
Dormado ne estas simpla ŝaltilo.
Dormon li same ne bezonas.
Drinkado kreskas, ĉefe inter gejunuloj.
Dromedaroj havas nur unu ĝibon.
Du aktivaj kaj unu estingita.
Du amikoj amis ludi futbalon.
Du bravaj junuloj ekiras edziĝi.
Du fratinoj kverelas pri oranĝo.
Du horojn de profesia aktorado.
Du junulinoj hazarde alvenis sammomente.
Du kestoj da malnovaj libroj.
Du malplenaj seĝoj interparolas silente.
Du policanoj sidas en drinkejo.
Du tagoj rolas kiel subjekto.
Dua punkto estas la financa.
Dua surprizo estis la aromo.
Dua vela duono ekkrio nu.
Dubo simple ne povas esti.
Dudek du personoj anoncis sin.
Dudek malrapidaj kaj moderaj paŝoj.
Due – la rusa literaturo.
Due, la eksperimenton necesas daŭrigi.
Due, recenzo ne estu resumo.
Due, sidu en komforta pozicio.
Dufoje dum unu sama tago.
Dulitaj ĉambroj kaj hazarda kunloĝigo.
Dum festeno malaperis arĝenta kulero.
Dum ili portas akrajn glavojn.
Dum ioma tempo estis silento.
Dum ioma tempo ni silentis.
Dum jarcentoj ĝi estas publika.
Dum kelkaj momentoj ŝi silentis.
Dum kelkaj sekundoj ĉiuj silentis.
Dum kio restas al mi?
Dum kvin minutoj li silentis.
Dum la laboristino ankoraŭ laboras.
Dum la malinstalo Vindozo restartas.
Dum la vespermanĝo ili silentis.
Dum li devis ĉion sukcesi.
Dum libertempo mi verkas librojn.
Dum longa momento li silentis.
Dum malpli ol unu sekundo.…
Dum minuto li staris hezite.
Dum momenteto li ne reagis.
Dum momento estis nenia respondo.
Dum momento ŝi pririgardis min.
Dum ni vivas, ni vivu!
Dum tiom da jarcentoj, cetere!
Dum tuta dimanĉo ili laboris.
Dum tuta horo li petadis.
Dum vi estas la detrua!
Dume konatiĝu kun miaj amikoj.
Dume la Grekoj estas senesperaj.
Dume la amaso daŭre pligrandiĝis.
Dume la avino vidis neniun.
Dume la junulino fariĝis belulino.
Dume li kondutis tute male.
Dume ni moviĝu per ili.
Dumfluge tiuj birdoj estas graciaj.
Dumnokte kelkaj personoj povas vekiĝi.
Dumtage oni ĉefe serĉis ombron.
Dumtage, ankaŭ tiu angoro akompanas.
Dumvoje ĉiutage estas Sankta Meso.
Duoble ĉesis la soleco Zamenhofa.
Duono de popolo kripligis sin.
Duŝanbeo estas ĉefurbo de Taĝikio.
Ebla alternativo estas la intertraktado.
Eblas ankaŭ krei novan portalon.
Eblas havi sukceson per tio.
Eblas mencii multajn similajn ekzemplojn.
Eblas porti ĝin sub brako.
Eble Nana scias pri aliaj.
Eble Zamenhof havis koron puran.
Eble aliaj homoj pensas inverse.
Eble finfine ni ĉiuj interkompreniĝus!
Eble ili lernus ion novan.
Eble io al ŝi okazis.
Eble iom malfacile trovebla libro.
Eble la kulpo estis mia.
Eble li al vi pardonos.
Eble li mem ne scias!
Eble li simple estas okupita.
Eble lia edzino estas malsana.
Eble malrapide vi lernus denove.
Eble malsimpla esprimado estas masko.
Eble mi devas enlitiĝi nun.
Eble mi miskomprenis tion, pardonon.
Eble mi povas nur promeni.
Eble ne estas tiel surprize.
Eble ne ĉiam estis tiel.
Eble ni pretervidis vian indikon.
Eble ni pretervidis vian indikon.
Eble ni voĉdonu, ĉu ne?
Eble nun mi lernis tion.
Eble oni ankaŭ volas tion.
Eble oni deziris savi ĝin.
Eble pli novaj versioj funkcius.
Eble poste mi tion provos.
Eble tamen ĝi haveblas represe.
Eble tiel estiĝos novaj grupoj.
Eble tio estos la solvo.
Eble tio solvos viajn problemojn.
Eble tion kaŭzas liaj sorĉvortoj.
Eble tiu estas la vojo.
Eble tiurilate Esperanto malpli taŭgus.
Eble unu horon, ne pli.
Eble vi ne kredos min.
Eble vi opinias ĝin nebela.
Eble ĉar mi estas obstina.
Eble ĝi volis konfuzi min.
Eble, al ni minacas epidemio.
Eble, ankaŭ en la mia.
Eble, iam baldaŭ indus ja.
Eble, ŝi eĉ atendis tion.
Eblo subaĉeti, ĉantaĝi, manipuli balotojn.
Eblus tie krei virtualan bibliotekon.
Eduardo ĉiam estis senĉesa parolanto.
Efektive ili ne interesas min.
Efektive kial mi fariĝis esperantisto?
Efektive mi jam solvis tion.
Efektive mi legis la klasikaĵojn.
Efektive, kunpreni librojn estas asekuro.
Efektive, mia koro tute enuis.
Efektive, ĝi estas treege neoportune!
Egale, ĉu paperajn aŭ elektronikajn.
Ege interese kaj bona valoro.
Ek al Bretonio, Eta Muso!
Ek al la sekva tasko!
Ek, tenu vin je mi.
Ekbruligu lumon en via ĉirkaŭaĵo.
Ekde tiam li senĉese komplotis.
Ekde tiam lia vivo suferplenis.
Ekde tiam pasis tuta eterneco.
Ekrigardu la kvine naskitan infanon.
Eksciu pli dum mia prelego!
Eksidis ni sub la betuloj.
Ekspliko estas nenecesa por hajko.
Ekstere io fajfas kaj muĝas.
Ekstereŭropajn solvojn ni ankoraŭ atendas.
Ekstremokaze vi rompos viajn ungojn!
Ekvidinte ŝin, mi iĝis trankvila.
Ekzemple la grandskala internacia spekulacio.
Ekzemple malsaniĝo havas specialajn kaŭzojn.
Ekzemple vian laborokupon, domon, aŭtomobilon.
Ekzemple – konstantaj tratempaj kanaloj.
Ekzemple, Rusio landlimas al Ĉinio.
Ekzemple, homoj aĉetas komercojn regule.
Ekzemple, horizontala trabo tendencas sinki.
Ekzemplo de blanka brua procezo.
Ekzilu homamon kaj forĵetu justecon.
Ekzistas abundaj diskutlistoj kaj blogoj.
Ekzistas akraj kaj malakraj variantoj.
Ekzistas ankaŭ industrio de perloj.
Ekzistas ankaŭ karakteriza hemoragia sindromo.
Ekzistas ankaŭ listo de membroj.
Ekzistas aparta sekcio por junuloj.
Ekzistas dolĉaj kaj amaraj migdaloj.
Ekzistas erotiko kaj ekzistas geedzeco.
Ekzistas frateco inter ĉiuj homoj.
Ekzistas herbaj kaj lignaj taksonoj.
Ekzistas homaj kaj Diaj virtoj.
Ekzistas ja tiaj mirindaj homoj.
Ekzistas kelkaj metodoj fari tunelojn.
Ekzistas kutime io malantaŭ ĝi.
Ekzistas multaj legendoj pri Jakobo.
Ekzistas multe pli bonaj alternativoj.
Ekzistas plua materialo ne publikigita.
Ekzistas tiaj tiranoj, demagogoj, strategoj.
Ekzistis ja iam sendrata telegrafo.
El Vikipedio, la libera enciklopedio.
El iu elfalis kolora aldonaĵo.
El kie tiu stultaĵo aperis?
El kio sekvas tia divido?
El kiu lando vi estas?
El kiuj landoj ili venas?
El la ceteraj faradis kotletojn.
El la planoj taŭgis neniu.
El lia observo nenio perdiĝas.
El meza junio al julio.
El paneroj oni bakas panon.
El piedoj kombiniĝas la verso.
El tio geedzeco rezultis Aĥilo.
El tio konsistas la vivo.
El tiu oni faras tatamon.
El ŝia nazo fluis sango.
Elekti gvidanton estas nia tasko.
Elekti la unu vi ŝatas.
Elektoj de versioj ne kreitaj.
Elektromotoro servas por turni surmetaĵojn.
Elektronika poŝtaĵo kutime kostas malmulte.
Elektu tion ĉe la Akcesoraĵoj.
Elektu unu el la kvadratoj.
Elementa edukado devus esti senpaga.
Elementoj kutime havas diversajn izotopojn.
Elfosaĵoj donas proksimume saman ciferon.
Eligu lin el la juĝejo!
Eliras Kroatio, Bosnio kaj Hercegovino.
Eliĝo petis lin hufoferi ĉevalon.
Elkorajn salutojn kaj bonan kantadon.
Elkrii kiel bebo solvas nenion.
Elspezanta monon sur supro vizaĝo.
Eluzu do tiun ĉi eblecon.
Elveturi li devis post semajno.
En Belgio estas multaj bierspecoj.
En Dua Vivo aperos fenestro.
En Japanio, Germanio, Rusio, Italio.
En Kartvelio bedaŭrinde alimaniere okazis.
En Meksikio loĝas ĉiuj Meksikianoj.
En Nederlando estas tute alie.
En Sudafriko oni ne malsatas.
En Svislando abundas anglalingvaj vortoj.
En aliaj kazoj oni scias.
En hajko oni ŝatas resonon.
En iu haltejo geviroj enbusiĝis.
En iu tago ĝi alvenis.
En januaro ĝi estis preta.
En kazo de dubo, telefonu!
En kia stato vi troviĝas?
En kies nomo ni suferas?
En kio estas ĝia esenco?
En kiu direkto ili ekiru?
En kiu dokumento ĝi troviĝus?
En kiu lando vi naskiĝis?
En konversacio ekzistas neniuj malhelpoj.
En la aŭto vi drinkos.
En la bona malnova tempo.
En la domo estis bruo.
En la forno brulas fajro.
En la forno estas karbo.
En la galerio estis seke.
En la gazeto estas bildoj.
En la halo estiĝis bruo.
En la kamparo estis belege!
En la korpo regas malpleno.
En la loknomoj Jakobo kaŝiĝis.
En la mistero kaŝiĝas instruo.
En la muzeo estis senlume.
En la nomo de kio?
En la pasinteco estis bone.
En la urbo naftorafinejo funkcias.
En la ĉambro oni subridadis.
En la ĉambro regis duonhelo.
En la ĝardeno estis kviete.
En la ŝuoj plaŭdetis akvo.
En lia tono aŭdiĝis peto.
En lia voĉo sonis amaro.
En lia voĉo sonis aprobo.
En mia kapo ĉio miksiĝis.
En miaj planoj io mankas.
En mian propran, trankvilan hejmon.
En multaj aperas eĉ pluraj.
En nia biblioteko estas katalogoj.
En nia urbo estas monteto.
En ordinara komunikado eble ne.
En psikologio lingvo estas grava.
En rifuĝejoj troviĝas multaj insektoj.
En senco, kie mi laboras.
En silento komenciĝis la laboro.
En societaj kunvenoj ofte similas.
En societo mi devas esti.
En somero ili kutime sekiĝas.
En tago, alvenis la mastro.
En tio baziĝas nia forto.
En tio estas ĝia valoro.
En tio treege gravas sistemigo.
En tiu momento Salva vekiĝis.
En urbo kaj en kamparo.
En viva ŝanco estas senlima.
En ĉaroj veturas via medicino.
En ĝi du ovoj troviĝis.
En ĝi ni vivas ĉiame.
En ŝiaj ĉambroj nenio ŝanĝiĝis.
En ĉio vi estas malprava.
En Ĉu li bremsis sufiĉe?
En ĵurnalo devas esti vero.
Enamiĝas homoj malsamaj kaj malsame.
Enfali en malsanon, mizeron, malespero.
Enhavajn mankojn mi poiomete kompletigas.
Enhavo de retejoj estas tradukeblaj.
Eniro estas senpaga kaj libera.
Eniru tien, kaj ne malrapidu.
Enketi ja estas solvi problemon.
Enkonduko de la Gregoria kalendaro.
Enmetu iomete pli da oleo!
Enmetu vian landon aŭ teritorion!
Entajpu necesajn informojn por enregistriĝi.
Entreprenisto estas tipo de ĉarlatano.
Entuziasma aplaŭdego sekvis la paroladon.
Entuziasmaj esperantistoj feliĉe ne mankas.
Enurbe aŭtobusoj liveras la pasaĝerojn.
Epigrafo, ho, kio estas epigrafo?
Eris forestis multe pli longe.
Eris, ne finaŭskultinte, ekiris pluen.
Ermito promenis tra la dezerto.
Ernesto ĉeestis spontanean, spektaklan pluevoluigon.
Erotika rakonto en elektronika formo.
Erupciis granda diskutado inter ili.
Esceptoj devas esti klare motivataj.
Esence, mi bezonis sciantan konsultanton.
Esperanta estas la plej favorata.
Esperanta vikipedio estas ankaŭ grava.
Esperantaj jarlibroj estas ĉefe adresaroj.
Esperantilo enhavas nun portugalan vortaron.
Esperantilo kreas la respondan paĝon.
Esperantio devas sekvi tiun modelon.
Esperantistoj, bonvenon al via Forumo!
Esperantistoj, legu mian esperantan hejmpaĝon.
Esperanto admirinde pretigas la terenon.
Esperanto ankaŭ havas siajn malestimantojn.
Esperanto estas ilo por aktivi!
Esperanto estas ja facila lingvo.
Esperanto estas libere elektebla studobjekto.
Esperanto estas lingvo de diasporo.
Esperanto estas lingvo, uzu ĝin.
Esperanto estas pli ol hobio.
Esperanto estas rimedo en tio.
Esperanto estas tre juna lingvo.
Esperanto forigas la lingvajn barojn.
Esperanto funkcias kiel normala lingvo.
Esperanto konstruiĝas ĉirkaŭ monda interkompreniĝo.
Esperanto mem servas diversajn funkciojn.
Esperanto meritas vian seriozan konsideron.
Esperanto ne estas nacia lingvo.
Esperanto ne estas nur lingvo.
Esperanto ne estas simpla hobio.
Esperanto perfekte ekzempligas tiun tezon.
Esperanto pretigis solvi tiun bezonon.
Esperanto vere faciligas personan kontakton.
Esperanto vivas per siaj parolantoj.
Esperanton mi lernas sola hejme.
Espere mi estos bona guvernisto!
Espereble mi iam havos ŝancon.
Espereble ne plu estos tiel.
Espereble ni minimumigos la ĝenojn.
Espereble plaĉos ankaŭ ĝia simetrieco.
Espereble vi ĝuas la kurson.
Espereble, estontece la situacio pliboniĝos.
Esploristoj lernigis vortojn al subjektoj.
Esploristoj tute mankas al mi.
Esploru kaj petu malnovajn klientojn.
Estas admirinde, ĉu ne, doktoro?
Estas agrabla senti pri Vi.
Estas agrable kunlabori kun vi.
Estas ankaŭ diversaj maldekstraj grupoj.
Estas ankoraŭ spaco por manovri.
Estas danĝere stari sub arbo.
Estas diversaj specoj de retadresoj.
Estas diversaj tradukoj en Esperanton.
Estas ege agrable kaj kuraĝige.
Estas eldonataj libroj kaj almanakoj.
Estas etika devo en Afriko.
Estas facile kompreni la kialon.
Estas facile, simple aldoni keston.
Estas feliĉo havi grandan familion.
Estas granda laboro, mi scias.
Estas granda ĝojo inter esperantistoj.
Estas horizontalaj kaj vertikalaj vicoj.
Estas interesa sperto al mi.
Estas internacia tendumado apud Bruselo.
Estas io admirinda en tio.
Estas io por la gazeto.
Estas ja kvazaŭ iu arto.
Estas jam tempo nepre foriri.
Estas kelkaj plibonigoj por Baratanoj.
Estas klare, pri kio temas.
Estas komforta, teda kaj vana.
Estas kompreneble, ke ŝi malĝojis.
Estas kvazaŭ litkovrilo el flikaĵoj.
Estas kviete en la nokto.
Estas la sesa horo matene.
Estas malbele, se estas pafoj.
Estas malfacile elteni devigan nenifaradon.
Estas malfacile erari pri tio.
Estas malfacile juĝi laŭ priskribo.
Estas malfacile objektive juĝi ĝin.
Estas malfacile por ni plendi.
Estas malpermesite ludi ĉi tie.
Estas malpermesite paroli kun vi.
Estas malsamaj opinioj pri tio.
Estas malsamaj signifoj laŭ kulturoj.
Estas malvarme kvankam mezas aŭgusto.
Estas mem ne nova vojo.
Estas mem ne nova vojo.
Estas multaj specoj da fromaĝoj.
Estas multaj teorioj pri tio.
Estas multe da fiuloj nekontrolataj.
Estas necese kapabli tion vidi.
Estas necese, ke li venu.
Estas necesege, do, konsulti aŭtoritatulon.
Estas neceso de tutmonda registaro.
Estas nenia kialo por malesperi.
Estas neniu kontraŭdiro ĉi tie.
Estas nova sperto por mi.
Estas opinio, ke li postvivos.
Estas pluraj tradukoj en Esperanto.
Estas postulata indiko de aŭtoro!
Estas problemo en ĉiu lingvo!
Estas ridinda kaj hontinda afero!
Estas sensence nun konstruadi versiojn.
Estas somero kaj varma sunbrilo.
Estas stato de ekstrema malriĉeco.
Estas tempo, ke mi foriru.
Estas tie granda medicina lago.
Estas tiel facile observi ilin!
Estas tiel, kaj nenio fareblas.
Estas tio nur la papo!
Estas tre malfacile mortigi vin.
Estas tro danĝere por vi.
Estas unu anomalio tro multe.
Estas vane diskuti kun vi.
Estas vere mistiko en frateco.
Estas verŝajne tre interesaj novaĵoj.
Estas vidmaniero, elekto de socio.
Estas ĉar sia estaĵo kulminas.
Estas ĉiam plezuro aŭskulti vin!
Estas ĝoja konatiĝi kun vi.
Estaĵoj harditaj de kruela klimato.
Esti ampleksanta estas esti senantaŭjuĝa.
Esti konstanta estas grava afero.
Esti la animo de Rezistado.
Esti senantaŭjuĝa estas esti reĝa.
Esti ĉi tie estas malbeno.
Estis Edeno por la novliberalismo.
Estis agrable babili kun li.
Estis alia aŭto, kiu eskapis.
Estis ankaŭ multe da okupiĝoj.
Estis ankoraŭ kelkaj aliaj plue.
Estis ankoraŭ kukumoj en ĵurnalo.
Estis antaŭ pli ol jaro.
Estis aranĝitaj ankaŭ du plaĝoj.
Estis bela junulo kun balailo.
Estis belega aŭtuna posttagmezo sunradia.
Estis bezonata transiro en supersistemon.
Estis bildo timiga kaj nekredebla.
Estis bruo de maŝina segilo.
Estis efektiva plezuro ĝin vidi.
Estis en la strato neniu.
Estis eraro en mia komento.
Estis gaje kaj vere agrable.
Estis granda tempon mi skribi.
Estis jam la dua horo.
Estis jam la dua nokte.
Estis kvarono antaŭ la sesa.
Estis la dua horo posttagmeze.
Estis la kvara horo posttagmeze.
Estis la mateno post dancado.
Estis la oka horo matene.
Estis malkomforte por mi, kompreneble.
Estis mallume, verŝiĝis printempa pluvo.
Estis malvarme, humide, komenciĝis decembro.
Estis miksitaj mienoj de reago.
Estis momento de streĉita silento.
Estis ne evitebla la ŝanĝo.
Estis ne tre vasta ĉambro.
Estis necese pereigi damaĝantan insektaron.
Estis neelteneble varmege kaj sufoke.
Estis neniu el tiuj aferoj.
Estis okazonta elpaŝo de poetoj.
Estis plezuro aŭskulti la venkinton!
Estis pli malkomforta ol malvarma.
Estis pluveto, kaj ne estas.
Estis por Karlo vera paradizo.
Estis profunda, venta, humida nokto.
Estis silento dum kelkaj momentoj.
Estis silento en la manĝoĉambro.
Estis tempo por antaŭenigi aferojn.
Estis tempo por posttagmeza manĝeto.
Estis tie pure kaj hejmece.
Estis tre interese kaj fascine.
Estis tro malfrue malhelpi tion.
Estis vere tre bela nokto.
Estis vilaĝo en la arbaro.
Estis ĉi tie verdire belege.
Estiĝis grandaj deponejoj de salo.
Estiĝis silento en la kafejo.
Estos multaj avidemaj senhontaj pastroj.
Estos pli kaj pli varme.
Estraro enkadrigas, centra oficejo realigas.
Estu akra sed ne piku.
Estu bona provlegado kaj reviziado.
Estu kiel ĉe vi hejme!
Estu ostoj, kaj karno kreskos.
Estu paciencaj, aŭskultu kaj juĝu.
Estu ĝi damnita, tiu tempo!
Estus bone plikompletigi redakcian komisionon.
Estus maldece diri la malon.
Estus monstre se estus alie.
Estus plene ŝpari multan tempon!
Estus pli konvene, pli honeste.
Etado de kampoj kaj produktoj.
Etaj variadoj estis facile rimarkeblaj.
Etendu la manon kaj trinku.
Etikedon mi ne vere komprenas.
Etiopio ankaŭ sekvas tiun sistemon.
Eventualan malplenigon povas plenumi roboto.
Eventuale oni bezonas kromajn kvalifikojn.
Evidente eblas ne uzi ilin.
Evidente ili tamen fojfoje aperas.
Evidente iomete mankas la objektiveco.
Evidente li ne deziras tion.
Evidente mi, evidente la homo.
Evidente temis pri juna paro.
Evidente tio kuntrenas ankaŭ riskojn.
Evidente, ili estas almenaŭ tri.
Evidentiĝas, ke ili amis min.
Evidentiĝis, ke li estas serbo.
Eĉ Turkujo respektis tiun reĝimon.
Eĉ bonan vorton ne aŭdis.
Eĉ en tiu ĉi urbo!
Eĉ infanon nenie eblas renkonti.
Eĉ ke oni tion rajtas.
Eĉ la centraj temoj fluas.
Eĉ la doktoro pridemandas tion.
Eĉ la gravito tute ĝustis.
Eĉ la infanoj ne ridis.
Eĉ la nomo ne klaras.
Eĉ la vetero favoris nin.
Eĉ li ridas pri tio.
Eĉ logis kaj tiris min.
Eĉ mi lin komencis timi.
Eĉ minuton ili ne dormis.
Eĉ morto ne haltigos min.
Eĉ ne pri tio temas.
Eĉ ne skribu al li!
Eĉ ne unu ruso renkontiĝis.
Eĉ pli teruras la silento.
Eĉ se ne tre baldaŭ.
Eĉ signo de nazo mankas.
Eĉ tio ne tro helpis.
Eĉ voĉon ŝi ne havis.
Eĉ, dum aĉetaĵoj en superbazaro.
Eŭgeno ne respondis, ree ekfajfis.
Eŭropa Unio aŭ la Mondo.
Eŭropo aperas tie komplete objektivigita.
Eŭropo de la popoloj, do.
Facilan vojon trans la Riveron!
Facile li povis fari tion.
Fakte Interreto neniel estas virtuala.
Fakte grave vundiĝis la cerbo.
Fakte landnomoj estas tre internaciaj.
Fakte lia maniero frapis min.
Fakte mi sukcesis malsovaĝigi lin.
Fakte ne ĉiuj aperis laste.
Fakte ni ne havas dativon.
Fakte temas pri mezepoka pensmaniero.
Fakte tio estas ŝia apartamento.
Fakte ĉe nur montras proksimecon.
Fakte ĝi ŝanĝis mian vivon.
Fakte, La ĉevalo estis iluminiĝinto.
Fakte, kelkaj policanoj eĉ partoprenas.
Fakte, kion ŝi volis diri?
Fakte, li aspektis iom turka.
Fakte, mi komprenas vian starpunkton.
Fakte, mi laboras malmulte nun.
Fakte, mi ne havas fraton.
Fakte, ni estas karieraj direktoroj.
Fakte, tio jam ekzistas nuntempe!
Fakte, tio signifas grandiozan perfidon.
Fakte, ŝiaj manoj estas konataj.
Faladas ili kun neanta gesto.
Faletante ili reiris al hororo.
Falis en liton kaj malaperis.
Famas ŝia Virino ĉe landlimo.
Familio el Norvegio adoptis lin.
Fanatismo estas nesufiĉo de braveco.
Farata per gramofono kaj disko.
Fari supon el ĝiaj ostoj!
Fari tion, kion vi ŝatas?
Farita laboro – preta laboro.
Faru el ĝi veran preĝon.
Faru humon kaj ne militon!
Faru ion distran kun amikoj.
Faru mem viajn proprajn intervjuojn.
Faru tion je Mia rememoro“.
Febre ni revadis pri ĝi.
Feliĉe li ekkaptis flosantan arbotrunkon.
Feliĉe mi ankoraŭ ne maljunas.
Feliĉe mi estis ne sola.
Feliĉe mi revenis de Germanio.
Feliĉe ni trovis vastan subtenon.
Feliĉe pretere iras iu turisto.
Feliĉe reĝoj estas pli longdaŭraj.
Feliĉe tio estis facila afero.
Feliĉe, esence ĉio aranĝiĝis mem.
Feliĉe, la viktimo evidentiĝis civilulo.
Feliĉo, certe, estas afero relativa.
Fenestro kaj diplomoj plenigante alian.
Fenestroj, teleroj kaj vitraĵoj difektiĝas.
Feriado en Esperantujo estas utiligado.
Fermu la okulojn kaj eltenu.
Fermu la pordon, mi petas.
Fidi min, ĝi ne estas.
Fiktive, certe, sed tamen suferis.
Filiko, aŭ kiel ĝi nomiĝas?
Filino, edzino, kaj du patrinoj.
Filipinoj ĉar tion aranĝis AdE.
Filmeton faris la feliĉa patro.
Fine estis la problemo solvita.
Fine ili atingis longan ravinon.
Fine ili denove atingis pordon.
Fine ili trovis grandan ŝtonon.
Fine la du fratoj renkontiĝis.
Fine la granda ovo krevis.
Fine la maljuna reĝo forpasis.
Fine la mallibereco estis moderigata.
Fine la reĝo revenis hejmen.
Fine la urbo tute senhomiĝis.
Fine li decidis serĉi ludkunulon.
Fine li starigis ĉi demandon.
Fine mi decidas min mortigi.
Fine mi eble petu pardonon.
Fine ni atingis la giĉeton.
Fine ni atingis lian stelon.
Fine oni rimarkis la kulpan.
Fine sekvis inflamo de pulmoj.
Fine ŝi levas sian jupon.
Fine, li malsaniĝis de tio.
Fine, ŝi eksuferis de malsano.
Finfine la kurteno estis pendigita.
Finfine la lingvo estas Esperanto!
Finfine la perdita ekspedicio alvenis.
Finfine li trovis tiun konstruaĵon.
Finfine mi estas ja sinjorino!
Finfine mi komprenis mian avon.
Finfine mi trovis la butonon.
Finfine mi turnis ĝin maldekstren.
Finfine, alklaku sur Konservi ŝanĝojn.
Finfine, kiel vi vidas, ekkredis.
Finfine, li eltiras sian violonon.
Finfine, mi bone miksis ĉion.
Finfine, surmetu la alian duonon.
Fino de la Dua mondmilito.
Firme firmteni sen firmteni armilon.
Firme tenu nian karan Konstitucion!
Fizike mi estis tro febla.
Fizikistoj revas pri Granda Unuigo.
Fiŝon estas objekto de manĝas.
Flanke mi vidis longegan vicon.
Flaro efikas ĉe senpera kontakto.
Floroj jam longe estas for.
Flota mantelo, ĉu vi vidas?
Foje en drasta, suferiga maniero.
Foje li fariĝis tre kuraĝa.
Foje li ŝuldis grandan monsumon.
Foje mi ektroviĝis en Paradizo.
Foje mi vidis disduiĝintan mondon.
Foje oni ŝin preskaŭ murdis.
Foje povas aspekti kiel rusismo.
Foje sed malofte eĉ surgrunde.
Foje sen, foje kun rimoj.
Foje ĝi estas tre akra.
Folio kun protestantisma severeco forstrekis.
Foliumi tra miloj de registriĝu.
For, for de tie ĉi!
Forbari uzanton havas du funkciojn.
Fore, en ĝardeno, kantis najtingalo.
Foren, foren al la montaro!
Forigitaj de la aktiva vivo.
Foriri kaj forporti vian konstruaĵon!
Forte reagis Usono kaj Nederlando.
Forte saltante, ĝi ekkuris antaŭen.
Forte sidas, kiu Dion fidas.
Forte ŝi amis la vivon.
Fotado kaj kameraado estas malpermesitaj.
Fotografio dume donis nenian respondon.
Fotoj kiuj ne, estas malakceptita.
Fragoj laboras precipe bone tiucele.
Framasonoj kunvenas en framasonaj loĝioj.
Franciska, malhavante ŝian helpon, malfruis.
Fraŭlo estas ne edziĝinta viro.
Fraŭlo ne estas kompleta homo.
Fritu la legomojn en oleo.
Frostiĝintaj ŝtipoj disflugadis kun krako.
Frosto desegnas arabeskojn sur fenestroj.
Frosto ekkuŝas sur la koron.
Frue matene ni komencos operacii.
Futbalo populariĝis tra la mondo.
Fuĝo de modo al modo.
Galeran alportadas al mi librojn.
Galeran atente esploris la ŝtonon.
Gardisto alportis lakton kaj panon.
Gardu vin kontraŭ la bebo!
Gardu vin prefere antaŭ peko.
Gasto ricevas post duonhoro kafon.
Gastoj al ni ne mankos.
Gaston provis ataki lin reen.
Geedza koito iĝas tre riska.
Geedzoj estas veturantaj per aŭtomobilo.
Gefratoj estas laŭleĝe parencoj duarangaj.
Gemo mole malfermetis la pordon.
Genro kaj specio skribiĝas kursive.
Germanio perdis ankaŭ siajn koloniojn.
Germanujo deklaras militon al Rusujo.
Gesamideanoj preĝis ĉe lia tombo.
Gesinjoroj kun ĉapelo do atentu!
